Subject #,Photo 1 - Label ,Photo 1 - Explanation ,Photo 2 - Label,Photo 2 - Explanation ,Photo 3 - Label,Photo 3 - Explanation ,Photo 4 - Label,Photo 4 - Explanation ,Photo 5 - Label,Photo 5 - Explanation ,Similar ,Similar why ,Any ,Any Why ,Additional info ,,
11,Yes,it is old and broken and rusty.,Unsure,"the boat is old, but this is unclear the focus is on the boat.",Unsure,"no I don't think so.it an old picture, cause it is black and white.",Unsure,This place looks great. It doesn't look old at all.,Unsure,the phone looks pretty beat up and dirty and out of date.,Strongly Disagree,it isn't clear what is old and what it isn't,Strongly Disagree,"I'm not even comfortable with it learning the five example, of course the future is definite.",what part of the image is old.,,
12,Yes,"This is a photo of an object that is old. It is falling apart,paint is peeling, metal is rusting, and the wood is worn. These are all indications that this object is old.",Yes,"The painting is depicting an old boat.. the passage of time is indicated by the boat being stranded and abandoned in a dried-up lake. The wood and paint on the boat are weathered, which indicates that it has been there a long time. Also, there is dried algae on the side of the boat, which would have taken time to grow and dry up.",Yes,The photo itself is old. The picture is somewhat blurry and in black and white. These things indicate an older photograph. Also. the uniforms worn by the men are styled with button-pockets and cloth belts with brass clasps. These are styles popular many years ago.,No,"A the items in this photo are new, not old. The white items are very clean and bright, and they do not show any yellowing of age or wear. The lighting and glass are bright, which indicates little use. The woodwork is shiny and smooth, which again shows no age from wear.",Yes,Some of the cell phones in the photo are relatively old in comparison to the newer smartphones. The older cell phones have smaller screens and button keypads. The really old cell phones have external antennas.,Agree,"I gave the computer specific things to look for as indications that items are old. So, it should be able to identify weathered and worn items.",Agree,"The specific indicators that I listed are common to old items, so the computer should be able to isolate these traits and identify them.","Perhaps the condition of the image itself could be taken into account. If the paper, canvass, or other materials are faded, torn, or peeled, this would indicate an older image.",,
13,Yes,The metal is rusted. That is one sign that something is old. The paint is also chipping away. It looks like it has been very well used over the time.,Yes,This boat looks old because its paint is eroding away. It looks like it has been used for a long time.,Yes,"The picture is in black and white, which could mean it is a very old picture since they didn't always have color pictures. The men in the picture are a bit old. They are not elderly, but they are older adults.",No,Everything in this room looks brand new. It is all clean. Everything is in its own space. There is nothing old in this picture.,Yes,"This picture contains phones from different makes and models. All these phones have been made at different times. The ones that have been around longer, would be the old ones.",Agree,"I think I covered some of the basics. Such as paint chipping away, and items looking like they have been used before.",Agree,"I think overall, a computer should be able to tell whether something is old or not. Some things may be tricky. Such as an antique that has been kept in very good condition.",The antiques that are kept in perfect shape is one thing. Something that could have a fresh coat of paint could fool the computer as well.,,
14,No,"The photo is very crisp and clear and the colors are bright. This would seem to indicate a newer camera took the picture. There is peeling paint, but that's not an indicator of age by itself, and furthermore the paint doesn't seem faded at all.",Yes,"The boat in the foreground is battered and rusting, and the paint is faded and discolored. It appears to have been anchored, but the water has receded and now it remains beached. It's been there a while as indicated by the lush growth of the grass where the water used to be.",Yes,"The clothing the men are wearing is from decades ago, as proven by the extremely short ties and the cut of one man's jacket. The photo itself is sepia and grainy, showing that the photo was taken with an old camera.",Unsure,"I believe this is a modern hotel decorated in a somewhat retro fashion. I see some ""vintage"" furniture in the photo, but the design of the house itself doesn't feel vintage. In addition, the photo is crisp and clear which would seem to indicate a newer camera took it.",Yes,"It is a picture showing the evolution of cell phones. From right to left: an old nigh-indestructible Nokia, a Motorola Razr, Blackberries or Palm Pilots, and what look to be early iPhones with touch screens. Technology ages much faster than other things, so the Nokia may only be 20 years old but in terms of cell phone tech it is verging on ancient.",Strongly Agree,"I tried to write at least two sentences for each photo, and expanded on my choice with examples and justification.",Agree,"Same as above: I tried to write at least two sentences for each photo, and expanded on my choice with examples and justification. However, this was a small sampling of photos, and future images may be quite different to the point that my explanations may not be applicable.","Sometimes the concept ""old"" needs context. For example, I mentioned that cell phones can be only 20 years old, but in terms of cell phone technology, they're rather ancient. Another example was a hotel room with some retro furniture (desk chair and bedside tables), which I doubted was old because the picture was clear and the colors were bright. If a photo of something genuinely old has been through post-processing to sharpen, brighten, and colorize the image, it can give the impression that the photo was taken much more recently.",,
15,Yes,"the paint is peeling, the wood is rotting away not smooth. there is rust on the metal",Yes,the paint on the boat is peeling off. The boat is sitting on dry land. the boat is in disaray,Yes,the picture itself is black and white the style of clothing is outdated,No,things are bright and shiny nothing is run down or shabby looking,Yes,phones with keyboards and that flip open are old style,Neutral,humans understand concepts but I don't believe computers do.,Neutral,humans understand concepts but I don't believe computers do.,concepts are more of a feeling and computers have no feeling,,
16,Yes,This was once a useful item but it is now just old and broken. The paint is weathered and the clock is in pieces. It has been around for a long time.,Yes,The boat is old. it is weathered and worn it is not being used and is in disrepair.,Yes,this is an old photo. the photo is grainy and the clothes they are wearing are out of date.,No,Everything in this room is fresh and looks modern and new.,Yes,These phones are not modern the technology has moved along and they are no longer in production.,Agree,It is easy to see right away I think I described it well.,Neutral,I think I would need some more examples.,I would like to show the computer some people .,,
17,Yes,The paint on the door is peeling. The clock looks broken. It looks as though from the top board that there was a fire and that the clock fell down. It also looks like there is an old and dirty tire around the clock. It looks like junk was placed up against an old door.,Yes,"The boat in the picture looks old, rusty and broken. The paint is scuffed, it looks like there are dents in the boat. It looks very dirty. A new boat would look clean and shiny with new paint. The windows would not be broken and it wouldn't have dents in it.",Yes,This looks like an old picture. It is a black and white photo. It also is not very clear. It is quite grainy. Photo technology has come a long way. Newer pictures are much clearer even if they are in black and white.,No,The room looks newer based on the lamps next to the headboard that are wired inside the walls so that you don't see the cords. The nightstands also look like a newer concept. They are sleek and simple. The lighted area with frosted glass definitely looks like a newer concept. The metal chair on the bottom right also looks newer - sleek and simple.,Yes,"The phones in this picture are old. They are flip phones as well as phones with key pads. Newer technology uses a touch screen. The two phones on the left are touch screen. However, matched with the older phones, I would guess that these are some of the first touch screen phones. If the majority of the phones were touch screen, I would not consider this picture old.",Agree,I feel that I was fairly thorough but the picture with the clock was difficult to explain.,Agree,I feel I did well overall with my descriptions but the one with the clock was hard.,I should have described what new looks like as a comparison.,,
18,Yes,"The worn, flaking paint and rough wood suggest age.",Yes,"The boat is in disrepair; since it takes time for a boat to fall into a state of disrepair, this suggests old.",Yes,"The men in the picture aren't themselves very old, but the style of dress suggests this is an old picture. That the picture is grainy and not sharp black and white also suggests it is an old picture taken on a film camera.",No,Nothing in the room is broken or dusty. The furniture and interior look to be contemporary designs. Neither of these things suggest age.,Unsure,"It might suggest old in that some of the phones pictured seem to be older models and styles, but old is a relative concept.",Strongly Disagree,I can think of similar images that would not convey the concept old.,Strongly Disagree,Old is a fairly abstract concept. It requires understanding a lot of cues and context to decide if something represents an abstraction like that.,Some things that are not old are intentionally made to appear old.,,
19,Yes,This looks burned and like it has been setting a while. The clock look damaged and the door also.,Unsure,Looks like a painting that is hard to judge. There is a old boat that makes this picture look older. Landscaping looks up to date though.,Yes,The photo is in black and white. The style of clothing looks outdated and old fashion.,Yes,The furniture looks older and the closets outdated.,Yes,Compare to the phones we have now they are out of date. There are button on the phone and some of these slide or flip up.,Agree,Identified what older looks like and how things have changed.,Agree,Compared it to things that are out now.,none,,
20,Yes,The clock is broken and the paint is peeling. These are signs of age. This picture is of something that is old.,Yes,The boat is rusted and the paint is peeling. These are clear signs of age. The boat is old.,Yes,This photo is grainy and in black and white. Most black and white photos are old. Another sign of age is the graininess. Older photos don't have good quality. The style of dress on the men is old also.,No,Everything in this room looks nice and neat. This is not an example of old. If things were in bad repair then it would probably be old but this is not.,Yes,These are older model phones so they can be classified as old. Most phones do not look like this now. They look more like the phones on the left but those are older model iphones.,Strongly Agree,I think the computer can identify older things based off my explanation.,Agree,There will be some signs of age that wasn't covered but it should be able to see most old things.,none,,
21,Yes,"It looks like the he lock on the door is rusting, which happens when things metal gets old I think. The clock also looks pretty old judging by the crack in the glass and the design.",Unsure,"The boat looks like it may be pretty old, however it might just be dirty. You really do not know for sure judging by looking at the photo itself.",Yes,"The photo is in black and white, which pretty much always means that the photo is from years back then. This is because all photos were black and white at one point because they could not be printed in color yet.",Unsure,"The room looks to be relatively new, however the table the lamp is sitting on looks to be pretty antique. I do not know for sure but I would guess it was pretty old.",Yes,The phones in the photo are forms years ago. Phones nowadays appear to look much different from the ones in the photo. Ask the iphones look like the earlier versions.,Neutral,"There are so many old items, I can't say that with just 5 photos I taught the system.",Disagree,It would take many more images for the computer to thoroughly be able to distinguished old items.,N.a,,
22,Yes,"Rust! Rust is a big sign that something is old and there's enough rust in this picture to suggest whatever we're looking at is very old. Also notice the chipping and peeling of the paint, revealing a different color underneath. Broken things suggest oldness too, like the broken clock here.",Yes,"The boat here is old. It is run down, it's paint is chipping and revealing multiple different hues under the top layer of paint which would indicate it has had lots of time to wear down. It is also on a dry lake bed which would indicate it has been there a long time.",Yes,"black and white pictures are no longer common, and are considered old in general. The clothes the men are wearing in the picture have also not been in fashion for several decades. short ties means old. Black and white means old.",No,"Everything is very clean, the paint is all uniform and only changes color when it meets a new color. There are no cracks in the tile, and the whites are still white, which usually turn a dingy yellow if given enough time.",Yes,This picture has somewhat new phones on the left side of the image and fairly old phones on the right side. It is a timeline of sorts in which very old and very new are shown with varying stages of change in between them. This picture shows the concept of old and new.,Neutral,There are so many different definitions and applicable eccentricities in what may or may not be considered old that trying to teach the robot seems a bit impossible.,Disagree,again there are way too many ideas of what old is that im sure it'd miss some in the future just based on what i told it.,"i should have mentioned wrinkles on things, gray hair, vibrations in old cars, lack of symmetry...so many things",,
23,Yes,There is a wall with peeling paint. There is a clock that has a cracked face. There is a bicycle tire hanging on the wall. There are splinters on wood next to the wall.,Yes,"The boat appears old because it has faded paint and no paint in some spots. It may be painted wood. It is aground, not in the water. The boat cabin is made of wood.",No,There are men of different ages. Nobody has gray hair. They may be all under age 50 or so.,No,There is a modern look to the room. There is smoothness everywhere in the photo. This looks like a modern bedroom.,Unsure,There are several phones and some look several years old. Some are not smart phones. They have very small keys under a small screen on the outside of the phone. One phone has a large nub antenna.,Disagree,The computer needs a lot more examples of what looks old.,Disagree,"Lots of examples of what is old are needed, and there were only a few.","I have not listed things like wrinkles or stooped posture. There is no torn or worn out clothing. I missed the opportunity to try to identify the photo itself as old, which might be whether it is in color or black and white.",,
24,Yes,"There appears to be damage, either from time or water, which indicates it is probably old.",Yes,The boat is weathered and in need of paint. The wood has rotted and needs repair. It has been neglected and left out in the elements.,Yes,"The photograph is in black and white and depicts army uniforms which were worn in the past. Also, the hairstyles are like those worn by men long ago.",No,The furnishings are modern-looking and very clean.,No,"Cellular phones are basically a modern technological invention, and since all of them still have the capability of working as a telephone, they at not old.",Agree,"This was a difficult concept to convey, but I think a computer could get the gist.",Disagree,I'm sure there's something more I could have explained had I thought of it.,not sure,,
25,Yes,"the paint is chipping, the wood is rotting and is dicolored as well as the metal. This constitutes old.",Yes,"the boat is discolored, rusty, paint is chipping and missing as well as the metal. It is also abandoned.",Yes,"photos are not taken in black and white anymore, therefore it is old. Also, the clothing in the photos is of not modern era.",No,"the area in the photo looks modern, not aged which would constitute old.",Yes,"the evolution of phones are shown showing current models (smartphones) as well as old models (flip phone, candy bar phones & type pad phones) many of the phones shown are outdated and old.",Agree,i explained what constitutes something being old,Agree,I have given specific examples of what can determine something to be old,nothing,,
26,Yes,The concept of old is shown here because this object clearly is rotting and peeling. It is at the end of its life. It has to have been around for a very long time for the elements to have gotten to it like that.,Yes,"This boat is rusted and rotting, clearly it has been sitting there for a very long time for it to look like that. The paint is no longer fresh, it is falling apart. And the fact that it has been left out in the open like that suggests that its previous owner abandoned it.",Yes,"The image is black and white and all of the men pictured, while young, are now old. The reason I know this is because current standards of photography do not involve black and white pictures. Also, the picture clearly has been around a very long time and it is not digital because of the defects I can clearly see on it. Also these men have a clothing style that is outdated now.",No,"The room is modern themed. The colors are bright and stark. i do not see any old objects, or anything that is of a style that is not modern. There are updated electronics, and the shower looks new. The chair in the corner is a very new looking chair.",Yes,"These cell phones are outdated, old models. None of them are new, they are all much larger than the current cell phones we use today. Plip phones and blackberries are a thing of the past. The slide out keyboards and large screens, also the type of buttons they use, all are old. New phones don't have buttons like that.",Strongly Agree,"I have explained all the reasons why I was thinking what I did, so it should be able to hopefully emulate my observations.",Strongly Agree,because all it has to do is to look for what I looked for and replicate it,"there are plenty of things that it doesn't know still, and that depends on what kinds of images it were to see. I was assuming that you'd show it similar images. For new images, like for example living beings like animals, you would need to know different details as far as biological aging, etc. And there is no possible way I could have covered that in just a few paragraphs.",,
27,Yes,This is old because you can see the wear and tear on it. The paint is peeling and looks like whatever it is was around for a very long time.,Yes,"The boat in this image is old, you can tell there is alot of wear and tear on it from the environment. It was sitting out there for a while.",Yes,You can tell this is old because of the outfits they are wearing and the fact that the picture is not in color. It was taken a very long time ago.,No,This is all stuff that looks new and modern. Nothing in this picture is old. Everything is current and looks very nice.,Yes,"These are cell phones, they are not very old but in technology terms they are old phones. There are many newer models that make these very outdated.",Strongly Agree,My definitions of Old were very clear and I helped describe the concept well.,Strongly Agree,My definition and description of old was clear and helps it understand the difference between old and new.,"None, i feel like my examples were good enough.",,
28,Yes,The paint has deteriorated. There is rust that has eaten through the metal. There appears to be burn marks on it.,Yes,There is a boat that is laying on the ground and run down. It is deteriorated and decrepit. The paint on the boat is chipped off. There is rust on it too.,Yes,The photo is old because there is no color to it. The photo is grainy and low definition.,No,There is nothing old in the picture. The image is in color. The decor is sleek and modern and looks new.,Yes,There are phones and smartphones in the picture. The technology shown is not old.,Disagree,I think that explaining whether something is old is very subjective. To somebody something might be old but to another person it may not be.,Disagree,Old is a subjective description. It is hard to determine if something is old or not.,I can't think of any.,,
29,Yes,It is old because the paint is peeling on the wood. There is rust present which indicates it has been sitting there for a long time. The wood on the frame is deteriorating which also indicates it has been there a long time.,Yes,There seems as if there was water at one point which is now gone and the boat has been sitting in that place for a long time which can be seen by the fading of the paint and it is falling apart.,Yes,Their style of dress indicates it was from a long ago era. The photo is not of great quality and seems to be yellowing which indicates age.,No,The room looks fresh and modern with modern amenities in it and the bed looks clean and up to date.,Yes,The style of the cell phones is old. These phones were used in the early 2000's which isn't very old but old when it comes to electronics.,Strongly Agree,I gave indicators as to what to look for to determine the age of the image and the objects in it.,Strongly Agree,When it determines the attributes that were present in the old photos it can apply that to future images it will see.,"How to determine if people are old by graying hair, etc. and attributes of human aging.",,
30,Yes,"There is a lot of rust and peeled paint. The surface is not smooth, but rather rough and scratched.",Yes,The boat looks rusty and discolored. It looks like there are many broken parts as well. It looks like it's been abandoned and has been there for a long time.,Yes,"The image is a photo that is black and white, and has a grainy texture. It's not a very clear image like modern photos.",No,I don't see anything old in this picture. Everything in this picture has a smooth surface and crisp colors. Nothing looks broken or damaged.,Yes,They are all old models of cell phones. Cell phones that has a screen on the top half and the key pads on the bottom half of the surface is usually old.,Neutral,"I think it can tell if it's another old photograph that is black and white with a grainy texture. I don't think it can tell an old photo that has color, though. I also don't know if computers can tell what ""peeled paint and rust"" looks like.",Disagree,"There are too many things that can fit into the concept ""old"" and that wasn't enough to cover the different cases.","The concept is too broad to teach it to recognize everything old. There was no pictures representing ""old age"" for example, like a grandmother.",,
31,Yes,The paint surface is worn and peeling. The wood seems to be damaged and old as well. Much of the damage could have been done be time in addition to fire. The wood on the left is also splintering like happens over time.,Yes,This photo illustrates the concept of old because one of the main elements in it is an old boat. It's possible to tell the boat is old because the paint is peeling and it is generally worn down. It seems to be broken and obviously not in use as it's not in water most likely because it's old and in disrepair.,Yes,"It's possible to tell this photo is old because the style of clothing is from a number of years ago, perhaps the 40's or 50's. In addition, the photo is black and white which is an indication that the photo was taken in a time when there wasn't any capability for color photos.",No,There really isn't anything to indicate the concept of old in this image. The style of the bed and furniture could really be from now or a few years ago. The room feels kind of modern and there is nothing specifically dated from the past.,Yes,"This looks like it illustrates the idea of old because it seems to show a lot of older style phones. Many of these styles are from years ago and either not used or rarely used any more. Most phoned today have digital screens on which you press the characters instead of buttons. Also, most phones no longer have antennas on them.",Agree,I tried to define what was old in each image that seemed to illustrate the concept. I tried to specifically name the details of why the things were old.,Agree,I hope so. I think I indicated that in each instance something was old and so in future images these elements would have to be present.,Maybe I should've indicated more clearly that in order for an image to communicate the them of being old it should specifically have an element that is worn in some way or has elements from the past in it.,,
32,Yes,This is considered old because it is falling apart due to the elapsed time it has sat there.,Yes,Anything that is decaying because of the amount of time it has sat there is considered old. The boat is obviously rotting.,Yes,This photo is in black and white and the attire the people are wearing are out dated.,No,Nothing is decaying and nothing looks as though it is outdated or too much time has passed declaring it a relic or old.,Yes,These are previous models of phones. Any previous replica of an object is considered dated and old.,Agree,I stated that something has to be a previous models or decaying because of elapsed time to be considered old.,Agree,I stated that something has to be a previous models or decaying because of elapsed time to be considered old.,I didn't tell the computer about peoples personal perceptions and everyone has a different opinion.,,
33,Yes,"Its rustic and we don't see this stuff around very easily. even the clock, i don't know what it is there for but it just seems very old to me. Plus the pain on the door is chipping off.",Yes,Boat looks old and dirty. Its not by the water. looks like its rusted and may have some cracks and chips in it.,Yes,The way they are dressed and the picture is black and white with not the best quality tells me it is old.,No,This is a picture of a room. it dosent look old. those stands can be brand new with just a retro theme.,Yes,these phones are old generation phones. even the two touch screen on the left are old looking and used up.,Disagree,There are many definitions for old and I did not go over many of them.,Disagree,"there are so many reasons something can be old. plus, i know i said for one that because the boat may have chips and holes that it looks old, but something can be new and have a hole. teaching a computer is hard.",theres just so much to cover for the concept of old.,,
34,Yes,The watch-face is warped and/or broken so it is no longer new which makes it old. The background appears to have rust and chipped paint and these are signs of age.,Yes,"The object in the painting, the boat, appears dirty and abandoned like it is no longer needed and discarded which means it is old.",Yes,"The image has an old look to it as it is black and white and also grainy in appearance. Also, the subjects are older aged people.",No,This room has modern furniture and is in good repair. Nothing appears old.,Yes,These phones appear damaged and used and not modern. New phones would appear different than these.,Disagree,Old is a concept that can be hard to see and five examples is not a lot to show all of the examples.,Strongly Disagree,Old is a concept that can be hard to see and five examples is not a lot to show all of the examples.,"What all kinds of items will look like if they are old, such a rips in clothes, etc. Age of living things can be hard to judge.",,
35,Yes,The paint being faded on the door and the metal starting display rust is a perfect example of old. When things get old they start to deteriorate as you see in the picture.,Yes,The boat in the picture is faded in color and very rusty. It is also not in a body of water which means at one point there may have been a water source here but it has since dried up which displays that a lot of time has past since the boat was originally placed here.,Unsure,The picture is in black and white which can symbolize oldness but new pictures can be styled in this way as well. There is no definitive way to know when the picture was taken because there are no markers that you can rely on to tell you the time period.,No,There are no definitive markers to display whether the room is old or not it could be styled for an old look without the items being old there is no way to be absolutely sure whether it is old or not.,Yes,This picture show different generations of phones and how technology has progressed over the years as you move from left to right the phones become less and less advanced which shows the age of the phones and how technology has progressed over the years which makes the phone on the far right very old.,Strongly Agree,Explained what to look at to deduce oldness and how it can sometimes be ambiguous.,Strongly Agree,I gave the computer clues to tell but this is a harder thing to distinguish.,More pictures that are old with markers that can allow you to definitely say that it is old.,,
36,Yes,The peeling paint means years have worn it away and it is old.The rust also indicated that this is old.,Yes,"The boat is old because it looks weathered. The boat is rusty as determined by the orangey brown colors on the boat. It's also been stripped from it's white color to show the green beneath, letting one know that it has to be old for the paint to have worn away.",Yes,"The photograph is in black and white and therefore old. Pictures are in color now and crisp, not grainy as the in the photograph.The style of dress is also old and looks to be from the mid 20th century.",No,"Everything in this room has a modern contemporary style, so it;s not old. The white's are bright whites. They don't look discolored or rusty.",Yes,"These phones are old models of cellphones. No one uses these models anymore and therefore are old. Flip phones are ancient, as well as blackberry's and earlier smartphones. MOst people will have much more advanced phones than these old ones.",Strongly Agree,I explained thoroughly why each picture was old or not. I wrote several reasons.,Agree,I think I have based mainly on the color descriptions and rustiness that signify oldness.,None,,
