Subject #,Photo 1 - Label ,Photo 1 - Explanation ,Photo 2 - Label,Photo 2 - Explanation ,Photo 3 - Label,Photo 3 - Explanation ,Photo 4 - Label,Photo 4 - Explanation ,Photo 5 - Label,Photo 5 - Explanation ,Similar ,Similar why ,Any ,Any Why ,Additional info ,
16,Yes,these people are sitting at a table and have food in front of them .Even though they are not putting the food in their mouths one can infer that they are eating.,Yes,This is an animal and he is licking a mineral block. He is consuming a part of that block so he would be eating it.,Yes,There are both people and food. the people are putting the food to their mouths and are eating it.,No,This person is preparing the food. She is not eating the food.,No,No this is just a picture of food. there is no people in this picture.,Agree,Its an easy concept with few rules,Agree,It is cut and dry either someone is eating or they are not.,I wold like some animals that are eating.,
17,Yes,There is a long table full of gentleman who have plates of food as well as drinks. No one in the picture is taking a bite right at that moment. But there is a man in the lower left who is holding his fork and appears to be stabbing it with food.,Unsure,"There is horse licking what looks like a brick. I am not sure what it is that he is licking. If the wooden trough was filled with small bits of food, it would definitely be eating. Licking does not necessarily mean that the horse is eating.",Yes,There is a woman in the upper right of the picture who is bringing food up to her mouth and taking a bite. There are plates and forks all around the table. There is another woman on the left who looks as if she is picking up a piece of food from her plate to eat. This looks like a restaurant as there are people and tables in the background. There is typically eating in a restaurant.,No,It looks like there is someone in a kitchen preparing food. There is no one in the picture eating.,Yes,It looks like there was a piece taken off of the pointed end of the cake with the fork. The fork has some brown cake still on it from the individual who took a bite. This definitely shows the concept of eating.,Agree,I feel I did rather well with the descriptions until the last picture and I was not sure exactly what to make of it.,Agree,For the most part yes but not sure about the last picture as I was not sure what the animal was licking.,I cannot think of anything else.,
18,Yes,"Although not every person in the photo seems to be eating at the moment, that some people are facing plates of food and holding utensils in their hands suggests they are in the act of eating.",Unsure,"The horse's tongue is out, so it is licking something; but I'm not sure what it is licking and whether that thing is some type of food.",Yes,"This shows people putting food into their mouths, so that would suggest they are eating. That they are sitting at a table also suggests they are eating.",Unsure,"When people are eating, they put food in their mouth. Since this person's face isn't visible, it is not possible to be sure this person is eating.",No,"Although there is a piece of cake (which is food) on a plate along with a fork, there are no people in the photo, so there is no eating.",Disagree,I can think of similar images that would not represent eating.,Strongly Disagree,Eating takes place in a lot of different contexts.,Animals other than humans can also represent the concept of eating. Even some plants can be said to eat.,
19,Yes,"There is a group of people sitting around a table, with plates of food and cups of beer around in front of them. Some have a fork already picking up food.",No,This horse seems to be maybe drinking. There is no food in this picture. The horse seems to be licking its lips maybe thirsty.,Yes,"You can see the food dishes clearly,with fork and spoon also. The girls are actually eating in the picture. There are glasses of water on the table also.",Unsure,There appears to be a chef cooking in a nice kitchen. You can not see her eating although she is preparing food to be ate.,Unsure,"The is the concept off food, but not really eating. This is a cake that can be ate. It seems as if someone is going to eat this cake soon.",Agree,Identified what it is that defines eating.,Agree,Showed that things that stood out for people eating.,preparing to eat,
20,Yes,There are people and food present. Each person has food in front of them so it can be assumed that they are eating.,No,An animal is putting their tongue on a block but they are not ingesting food. This is an example of licking but not eating. The animal would have to be chewing on food. This is not eating.,Yes,People have food in front of them. One person is even biting into the food. This is an example of eating.,No,There is no food present. There is a person but they are not by food. The person is also not in the act of bringing food to their mouth.,No,This is not eating. Food is present but there is not animal or person eating it. It is just sitting there.,Agree,The computer would be able to identify most examples of eating.,Agree,There may be only a few examples that would slip by the computer.,none,
21,Yes,"There are multiple men sitting down at a time with food in front of them making eating motions, so I would guess that there is eating taking place in this photo.",Unsure,"I'm not sure. If the block that the horse is licking is food, then yea possibly. It all depends on what that brown block is.",Yes,There are people sitting down in a restaurant with food in front of them. This would signify people eating as I have never been to a restaurant where people did not eat.,No,"There is a picture of a chef in a kitchen. I don't see any food anywhere or any clues to show that the chef is eating something, so I would guess that the chef is not eating.",No,"There is a picture of a cake on a table, but there is no one anywhere around it to eat it.",Agree,I think I distinguished what represents eating and what does not.,Neutral,"Every picture is different, but I am sure the computer what have a better idea.",What eating specifically looks like.,
22,Yes,"Several people with food in front of them and with dining utensils in hand is the PERFECT representation of the concept of eating. Remember that robot. utencils, drinks, plates full of food, all sitting around a single table. That is eating.",Unsure,"This is a small immature horse licking a block of salt. The picture definitely relates the concept of ""licking"" but it would be a stretch to call it eating. There's no chance the horse would do anything but lick the block, but in some cases, especially with humans, that can be considered eating as well.",Yes,"People sitting around a table with drinks and plates of food. Remember what i told you robot, they're all at the same table, they have beverages and utensils (though eating with the hands is sometimes common) they're definitely eating.",No,"we are looking into a kitchen, there is a person who is likely working with food, but eating involves putting carbonaceous material into the largest front facing orifice on the human head.",No,"The picture contains food, but does not represent or display the concept of eating. There is no animal in the picture that is eating the food. food by itself does not represent ""eating.""",Strongly Agree,because it's a pretty straightforward concept to teach.,Agree,As long as it can define my terms appropriately i don't see any picture where eating was occuring that it wouldn't be able to identify.,i focused too much on utensils and beverages and should have stated that's not a prerequisite.,
23,Yes,There are several persons with plates in front of them sitting at a table. The plates have food on them. A person is holding a fork. There are glasses of beverages on the table. There are salt and pepper shakers on the table.,Yes,There is a horse next to a horse trough. The horse is licking something. The horse must taste something.,Yes,Someone is putting food into their mouth. There are plates with food on them. The people are sitting at a table. There are glasses with liquid on the table. There are forks and spoons.,Yes,There is a large counter with plates on top of it. There is gray stainless steel equipment. There is a person wearing white in front of the equipment. This appears to be a restaurant kitchen.,Yes,There is a piece of real cake on a plate. There is a fork next to the cake. The plate is on a table or counter.,Agree,"I listed plates, forks, spoons, tables, and food on plates as clues. Also I listed stainless steel equipment and a counter as clues.",Neutral,"There might be eating situations without tables or forks or spoons, such as a picnic with only a cloth and food sitting out with nobody eating.",I cannot think of anything else.,
24,Yes,"People are sitting at a table with plates of food in front of them. Some of them are holding a fork, indicating they are, or expect to be, eating the food on their plate.",No,The horse is licking salt by using its tongue. It is not putting any edible morsels in its mouth and chewing.,Yes,The person on the right has food in her hands and is putting it into her mouth to be chewed and swallowed.,No,"This is a facility that prepares food to be consumed, but nobody in the image is eating anything.",No,"While this is something that can be eaten, there is nobody doing the eating in this image.",Agree,I think this is a simple concept that a computer could easily master.,Neutral,I'm sure there's something more I could have said.,not sure,
25,Yes,"they men are sitting at a table with food in front of them on plates. one is grabbing food with a fork, and another appears to have a mouth full of food.",Yes,the horse is attempting to eat the item by licking it. Licking or otherwise putting something in your mouth constitutes eating.,Yes,"Food is on plates, and one person has some in their mouth. Licking or otherwise putting something in your mouth constitutes eating.",No,no one is actually physically putting food in their mouth. The photo shows cooking which one must generally do before eating.,No,the photo just shows food sitting on a plate. No one is touching it or attempting to put it in their mouth.,Agree,i described what constitutes eating,Agree,Licking or otherwise putting something in your mouth constitutes eating.,n/a,
26,Yes,"human beings are using their hands to insert food into their mouths and chew it up. in the case of animals, they may be using whatever other appendages they have to eat. But with humans, they use hands. You can see the food there on their plates.",Yes,"this animal is eating with its mouth. it does not have hands, so it eats only with its mouth and teeth",Yes,beings are putting food into their mouths and chewing it up,No,"no animals or humans are putting food into their mouths, so it is not the act of eating.",No,"there are no beings here to eat the food. the food is here, but no one is eating it. that is why this is not the concept of eating. it is just food.",Strongly Agree,"i believe i covered every detail as to what the act of eating is, so it should be able to identify it.",Strongly Agree,"i explained every detail about eating, so it always knows what it is if it follows my guildelines",nothing that i can think of,
27,Yes,"This is a group of people around a table eating. Forks in hand, food going up to mouth. Some are chewing.",Yes,"The horse is eating from the trough, and there are horses in the background eating off the floor, probably grass. The main horse is licking something too.",Yes,"This picture shows people eating, and putting the food into their mouth to consume it.",No,This picture shows cooking not eating. They are preparing the food not yet eating it.,Yes,this is a piece of cake that is ready to be ate. so the concept of eating is here because they have the fork ready and everything.,Strongly Agree,I gave solid descriptions of what it should be.,Strongly Agree,The computer should be able to learn very well from my descriptions.,"Nothing, I feel like my examples explained it very well.",
28,Yes,There are many people sitting around a table. They have food in front of them and have silverware in their hands and food on their plates.,Yes,Eating is a living thing consuming an object with its mouth. There is a horse licking a block. You can see its tongue on it.,Yes,There are people at a table. Food on the plates. One person is putting food in their mouth.,No,There is a personin the picture but it does not show anyone putting any food or any objects in their mouths.,No,There is food in the picture but there is nobody consuming it. Eating has to be a living thing putting food in its mouth.,Agree,Eating is an easy concept. It involves a living being consuming food.,Agree,It is easy to discern whether a living thing is consuming something.,Nothing.,
29,Yes,"There are many people in this photo sitting at a table, with eating utensils in their hands to eat the food that is right in front of them.",Yes,The animal is licking the block which indicates that there is a flavor which it likes to eat. It wants to have the object in it's mouth.,Yes,There is food on the table and one person actually has the food in their mouth which indicates they are eating the food. They are in a restaurant which one goes to to eat food.,No,There is no food with people in front of it and no one is putting food into their mouths which would indicate eating.,No,There is food in the photo and a utensil which serves the purpose of eating but there is no one present to do the act of eating.,Agree,I taught it that there must be a person or animal present and there must be food in front of them which they will put into their mounths,Agree,I gave it the attributes of what indicators must be present for there to be the act of eating.,None,
30,Yes,"There are food on the table with people facing it. Some people are also looking down at the food. People are holding utensils like forks, which is touching the food on the plates.",Unsure,"I don't think the horse is eating, because I don't think whatever he is licking is food. I have never seen anything like it, so I'm not sure.",Yes,There are food on the table with people facing the food. Someone has food up to her mouth and she has her mouth open. The other person is touching the food on her plate as well.,No,"There is food, but there are no people facing the food. No one is opening their mouth or chewing either. No one is touching the food.",No,"There is food on the table, but there is no person in the picture. So this is just a picture of a cake, but not someone eating the cake.",Strongly Agree,I think I defined a few conditions that needs to be met for the images to be considered someone eating.,Agree,"I think the conditions I listed, such as ""people must be facing the food"" are universal enough to work with any images to identify ""eating"".",There might be images where people would be eating but aren't facing the food on the table. Then it will have to look at how the food looks on the table (if it looks like it's been eaten) or if the person is chewing.,
31,Yes,"The definition of the concept of eating has been satisfied because there are elements of eating. The main element present is food. There are also many dishes, glasses and eating utensils present. In addition, there are people actually eating in this photo.",Yes,"Although this is a different creature eating, it is still an example of the idea of eating. The horse is eating or licking a salt block. It's ingesting nutrients, which is also another way to define the concept of eating. The concept of eating can be defined as having any of the elements involved in the concept present such as eating, utensils, plates, or food.",Yes,"By definition this illustrates eating because it contains elements of the eating experience. Mainly, it contains food. But it also has plates and utensils which are used to eat food. There are also a number of dining tables which are present in restaurants which serve food.",Yes,"By definition, this illustrates the concept of eating. There is food waiting. And there are plates. Also, there seems to be a chef in the background. All of these are elements needed to define eating. In addition, this particular photo has heating lamps which are used to keep food warm in a restaurant while it waits to go out to the diners.",Yes,"This illustrates the concept of eating because it contains elements that are included in the idea of eating. There is a fork which is used to eat and there is an actual edible object, cake. There is also a plate which is used to hold the item to be eaten. By definition, the concept of eating should have either something to be eaten or objects involved in the process or both.",Agree,I tried to define exactly what eating consists of. I named the different elements.,Agree,"I just told it that to be considered eating it had to have certain elements present such as eating, food, utensils, plates, etc.",I can't think of anything else to add. I think I was pretty specific.,
32,Yes,Human beings are putting food into their mouths at a dinning table. They are consuming food off of a plate,Unsure,This might or might not be considered eating given what is happening. A horse is licking a salt block.,Yes,"A person is biting off a piece of food from her hand. There is food on the plate, and a person is eating consuming it.",No,No body is putting food in their mouths nor is anybody consuming any food. There is just a kitchen.,No,"There are no humans in the picture. Nobody is putting the food in their mouths and no body is getting ready to consume the food. The food is just sitting there, there is no indication of consumption.",Agree,"Because I explained that in order for something to be considered eating, someone must be consuming food.",Agree,"Because I explained that in order for something to be considered eating, someone must be consuming food.",Whether or not licking food is considered eating or not.,
33,Yes,"yes. people are sitting at the table, have food on their forks, in their hands, and even though it may not be in their mouth, that is where it is going.",Unsure,the donkey is clearly interested in it and has his mouth on it but i'm not sure what it is. could be something a donkey eats. looks like it.,Yes,people are sitting at a table and putting food in their mouths.,No,a picture of a restaurant preparing food is not eating. i actually don't see food in the picture.,No,its just a picture of cake. which is food but no one is buy it so i don't count it as eating.,Agree,i mean you are sitting at a table and there is food. people have to be present for eating to be done.,Agree,they can be confused seeing food but i think they know people have to be around.,i guess i may have confused the computer on the last image where they were preparing food in a kitchen,
34,Yes,People are shown gathered with plates of food and they are located at a dining table.,Yes,The animal is consuming something with its mouth.,Yes,At least one person in this photo is putting food into their mouth.,No,A kitchen and food are shown but it is not showing that this food is being consumed.,No,Food is shown but the food is not being consumed.,Strongly Agree,It is clear whether or not eating is shown so similar images should be similar enough to be accartely identified.,Disagree,Eating can look different than just what has been show in these examples.,Chewing is also eating so the food may not be visible but chewing is.,
35,Yes,There are people sitting at a table with plates of food in front of them. They have utensils in their hands to pick up the food to place it into their mouths.,No,There is no food in the picture for the horse to eat. It is licking a salt block instead of eating something which could be looked at as a form of drinking maybe but not eating.,Yes,There are plates of food on the table. There is a person holding a piece of food with the hands and they are biting it.,No,This isn't a concept of eating because the picture shows a kitchen where food is prepared. So the food isn't ready to be eaten just yet.,Unsure,While there is food and a fork in the picture there is no one present to eat the cake. So there is no way possible to know if the cake is about to be eaten or not.,Agree,I told the computer why I though there were certain pictures that showed eating vs it not showing by explaining what I was looking at to come up with that reason.,Agree,The information I provided will give the computer context clues to look at to determine more easily whether a scene shows eating or not.,I might could have an outdoor setting so that the computer doesn't think you have to sit at a table to be considered eating.,
36,Yes,Several individuals are in the midst of the act of eating. They are putting utensils in their food and looking at their plates.Some have food in their mouths and are chewing.,Unsure,"I am unsure of eating, because I cannot identify the object the horse is licking. The tongue is out, but the item does not resemble food.",Yes,There is food on the table and one woman is seen with meat in her mouth. Another has meat in her hand and she has taken a bite out of it.,No,No one is before the food with a utensil filled with food entering their mouths. This woman is cooking an preparing food.,No,There is no human around the food. No one is putting any of the cake into their mouth.,Agree,"I explained why a picture was not eating and why it was in a definitive way. No human, no food entering the mouth or inside the mouth means that's not eating.",Agree,The computer will be able to base their answer on my qualifiers. If they see what I determined to be eating then they will mark it as so and the opposite as well.,"I think I should have taught the computer more about what signifies food, because I don't want the computer to think any object entering the mouth is indeed food.",
37,Yes,"people are consuming food for nourishment and enjoyment, through their mouths that goes into their stomachs. the action is chewing food and swallowing it for nourishment",No,"this horse is not consuming something through the mouth for nourishment, so eating is not happening here.",Yes,"people are ingesting food into their bodies, through the mouth for nourishment and/or enjoyment",No,nothing is being consumed for the purpose of nourishment or enjoyment. there is no food being ingested,No,"there is food, but here is no one actually putting this food in their mouths to chew and swallow to show the action of ""eating""",Agree,"i was able to explain how ""eating"" happens and when",Agree,i fully explained all aspects of eating,none,
38,Yes,There are plates on a table. There is food on the plates. There are humans sitting at the table. The humans have food on plates in front of them. At least one human has food in their hand or hands.,No,There is a horse in the photo. There is a place to eat from. There is no food in the eating place. The horse is licking a block. There is water in the place to eat. The horse is not chewing food.,Yes,There are plates on the table. There is food on the plates. There are humans sitting at the table. At least one human has food in their hand or hands.,No,There is a kitchen in the photo. There are plates in the photo. The plates have food on them. There is a human in the photo. The human does not have food in their hand or hands.,No,There is a plate in the photo. There is food on the plate. There are not any humans in the photo. There are not any humans with food in their hands.,Agree,I believe I have taught the computer to identify humans eating positively. There are not enough photos of other animals to thoroughly teach the computer to identify animals eating. There is enough information taught to the computer to possibly decipher this with animals.,Agree,I believe I have taught the computer enough to identify all future images of humans eating. I would like to teach more about animals eating as well. I don't think there is enough information from one picture of a horse to allow the computer to decipher animals eating.,I would have taught the computer to identify animals eating by having food in their mouths and chewing that food.,
39,Yes,"This photo shows a group of service members at a restaurant. They are surrounded by food and putting it into their mouths, so they are eating the food. They also have a lot of forks around them, which lets them put the food into their mouths and eat it. Many people can get together to eat food-it can also be a large celebration.",Yes,"In this photo, a pony is licking something that looks like food. Not all animals eat like humans do. Animals like ponies can lick at something to get nutrients, so that is a different form of eating. Because the pony is putting it into his mouth and ingesting it, this is a form of eating.",Yes,"This photo shows several plates of food in what looks like a restaurant. There are two girls putting food into their mouths and eating it. There are utensils sitting out as well, giving people options to eat with. They are also using their hands,since those also help with eating.",Yes,"This image shows what looks like a chef or cook preparing food and setting it on plates behind her. We put food on plates before eating it,so this is close to the concept of eating. However, no one is actually doing the act of putting food into their mouths, so it only suggest the fact that this food will be eaten by someone.",Yes,"Although no on is directly putting the cake into their mouths, the photo shows a picture of a cake and a fork. Because there is food on the plate,and a utensil with which to eat the food, this photo suggests the concept of eating. A person will probably grab the plate with its fork and be able to eat the cake.",Strongly Agree,"I think I explained that if there is food and utensils, there can be people eating.",Agree,"I feel like I covered most things, though it was hard to explain or think if there was a difference between just food and people actively eating it.",Not that I can think of.,
40,Yes,"there are a bunch of uniformed men having dinner. they in the process of eating the food on their plates. they could be in a cafeteria or restaurant, or just a dinner table.",Yes,"there is a horse or a colt who is nibbling on something. its borderline, but I think I would put this into the category of eating because the colt is ingesting something with its mouth",Yes,"there is food at a dinner table and someone is directly putting food from their plate into their mouth. this is definitely a good example of eating. they are at a restaurant having dinner, so this is also a familiar context for eating.",Unsure,"there is food and there is cooking. there is a chef cooking food in the back and there is food under heat lamps. people will be eating soon, but there isn't anyone eating in these photos as of yet.",No,"there is a piece of cake here, and it could be eaten, however no one is eating it. the cake is just sitting there. no eating is happening.no person or animal is present to eat the cake at the moment.",Neutral,"except for possibly the first example, i think i described what the elements to eating are. it consists of people or animals putting food in their mouth to ingest it. however I feel like it would take more pictures or scenarios to really make it consistent",Neutral,"I feel like there need to be more examples to work through, more of both eating and not-eating examples so its made really clear","eating isn't just putting food in your mouth, its also about chewing and swallowing for sustenance. for example someone brushing their teeth might be confused with eating, so that is something that needs to be delineated.",
