Subject #,Photo 1 - Label ,Photo 1 - Explanation ,Photo 2 - Label,Photo 2 - Explanation ,Photo 3 - Label,Photo 3 - Explanation ,Photo 4 - Label,Photo 4 - Explanation ,Photo 5 - Label,Photo 5 - Explanation ,Similar ,Similar why ,Any ,Any Why ,Additional info ,,
15,Yes,the road goes in multiple directions from one spot,No,There are no roads in this picture,Yes,From one spot the road goes in multiple directions,No,there are no roads in this picture,Yes,from one spot the road goes in multiple directions,Disagree,we use different languages are are perception is biased by feelings,Disagree,we use different languages are are perception is biased by feelings and experiences,none,,
16,Yes,This is a place where two roads intersect.,No,this is a train merge where two tracks come together so it would not be a cross road.,Yes,This is another example of where two roads come together to form a plus symbol,No,I think that ther might be a crossroad in the picture below the sign but we can not see it. It is not visible.,Yes,This is a place where two roads come together and meet. one road it going one way and the other is perpendicular to the other one.,Agree,I think that it is really a simple thing to learn.,Agree,I think the examples of a cross read is straight forward.,I would like to see more merges and some more simple pictures. I would also like aerial photos to show,,
17,Yes,There is one road going straight ahead after the stop sign where cars are parked on both sides. There is a crosswalk to the right and then another road that is perpendicular to the road that goes straight ahead.,Yes,"At the top of the picture, there is a railroad track with two parallel tracks. There is also an X in the train tracks where the trains can switch tracks.",Yes,There is a stop sign with one road going in that direction. There is another road that starts in the bottom left of the picture and goes the upper right of the picture.,Yes,There are two street signs : Broadway and Spring street that are perpendicular to each other. There are also one way signs up above the street signs that show that there are two streets crossing each other. Below the street signs there are crosswalk signs that are facing the other direction. There are two of them again perpendicular to each other showing that there are two roads crossing.,Yes,There are cars that facing where the picture is being taken that is one road. You can see that another road is crossing it as it goes from the middle left to the bottom right of the picture. There are also traffic lights going in two directions. The green ones for the oncoming traffic and the red ones to the left that let cars know to stop.,Agree,I think I did okay but could have given a little more detail in a few of the pictures.,Agree,I feel for the most part that I did give a decent amount of detail but it could be better.,I did not mention color of the road or the sky vs road. I'm sure with more thought I would come up with a little more description.,,
18,Yes,"Although I can't see much of the crossroad in the foreground, I can see the stop sign and ""stop"" written on the ground, which is what one would expect where two roads cross.",No,"This shows a train, which runs on tracks. Crossroads are made up of roads for wheeled vehicles or pedestrians, not trains.",Yes,There are two roads that meet at a square angle.,No,"There are street signs in the picture, but no roads, so this cannot show a crossroad.",Yes,"Although only a bit of on of the roads is visible, the presence of traffic lights makes me think this is a crossroads.",Disagree,Street scenes can be very complicated. I feel it's unlikely that even similar images could all be identified.,Strongly Disagree,"Some crossroads have signs, some don't. Some roads are well demarcated, some aren't. I feel correctly identifying every variation is unlikely.","Crossroads may not always come together at a square angle.
 They may not have stop signs or lights.",,
19,Yes,sections or roads that cross each other.,Yes,looking for an x on the rail. where two lanes cross.,Yes,stop signs at corners and different streets.,No,"these are just street signs, not a cross road. it may be below.",Yes,can see the crossing streets and intersections.,Agree,provided examples from pictures and images.,Agree,Identified what was not a crossroad,nothing,,
20,Yes,There is a road in the image. This is where two roads meet and cross each other.,No,The main object of the image is not a road. This is a railway. There are not crossroads.,Yes,There are roads in the image. The two roads meet and cross each other. There is a stop sign. There are usually stops signs or traffic lights at a crossroad.,No,This image does not show any roads at all. For the image to have a crossroad there must be roads in the image.,Yes,"In the image, two roads meet and cross each other. There is a traffic light which is a way to control traffic at a cross road.",Strongly Agree,I have taught the computer the basic concepts.,Agree,The computer now knows how to identify crossroads. It doesn't take much.,The roads are sometimes not paved.,,
21,Yes,"There is an intersection that you can cross safety so yea. I think that the crossroad is where people are allowed to walk, but I am not sure.",Unsure,"If a crossroad is like a railroad track then yea. I am not sure if a crossroad means an intersection, or a railroad so it is hard to say whether or not it is in the picture.",Unsure,"I think a crossroad is like an intersection. So if that is correct, then yea this is probably a crossroad I assume.",Unsure,"There is no picture of the road itself so it is impossible to tell. The signs may indicate there is one, but you cannot be sure unless you can actually see it.",Unsure,It simply looks like an intersection. I don't see any area of the road where people are allowed to cross. If there was one of these areas then it would be a crossroad.,Disagree,Crossword is another vague term.,Disagree,I honestly don't even know what a crossroad is to be honest.,"I would first find the definition of what they mean by crossroad, and tell the system exactly that.",,
22,Yes,"We are viewing the picture as a pedestrian might view the scene. There is a crossroads right in front of us, we can keep moving straight, or decide to go left or right.",No,Train tracks are NOT roads. They do not allow for the same behavior from a train that roads do for a car. A train cannot have a crossroads.,Yes,There are two roads and they meet each other. If you were on one road and came across the crossing then you would have come to a crossroads. Two roads meeting each other and both continuing.,No,"There is evidence of a crossroads here. The street signs suggest that there is a crossroads and in some cases the signs would be enough, but if asked i would say there is not a crossroads in this picture.",Yes,"There are two roads that meet and both continue, that is what a crossroads is.",Agree,because it's not hard and i gave concrete definitions of what i think a crossroads is.,Disagree,"There will likely be a case where my definition doesn't suffice, either because of image quality or viewing angle. I can imagine the computer getting confused still.","nothing really, maybe i should have been more lenient on the roadsigns picture though.",,
23,Yes,There are white lines on the pavement. There is a stop sign. There are vehicles parked on the road. This looks like an intersection of roads.,Unsure,There is a train on train tracks. There is pavement but it may pass under the train tracks. There is no visible traffic signal or stop sign.,Yes,There are roads. There is pavement. There is a stop sign. There are white lines on the pavement. There are vehicles parked on the pavement. The vehicles are going in different directions.,Unsure,You cannot see pavement. There is no road visible. There are street signs. There are buildings.,Yes,There are roads. There is pavement. There is a traffic signal. There are vehicles on the road. A traffic signal means there is traffic coming from a different direction needing to be controlled.,Agree,"I have listed road, pavement and traffic signals or stop sign as indicators of crossroads.",Disagree,"Future images may have other road situations that need further descriptions, such as roads that are not paved and have no signs or signals.",How to tell if there are two roads that intersect without traffic control or pavement.,,
24,Yes,The stop sign indicates a road that is intersected by another street running perpendicular,No,There is no street or intersection of streets to create a crossroad.,Yes,There are four rounded corners of land pointing to the same area of the street. There are areas of street running in all four directions from the center.,No,"There is no street or road or other thoroughfare in this image. Although the street signs indicate that a crossroad does exist, it isn't visible in the image.",Yes,There is a traffic light regulating flow in at least two directions from the point where pavement meets.,Neutral,"I might have helped a little, but I couldn't be sure unless the computer was tested on it.",Disagree,I'm not sure it was thorough enough for a computer to learn.,not sure,,
25,Yes,a road that intersects another road is a crossroad. It generally has 4 directions of possible travel.,No,"although the railways move away from each other, it is not possible to jump from one track to the other in opposite directions.",Yes,a road that intersects another road is a crossroad. It generally has 4 directions of possible travel. this is seen in the above photo.,Unsure,though the actual view of the streets or roads are not visible the signs indicating a intersection are present indicating it could possibly be a crossroads with 4 directions of travel.,Yes,a road that intersects another road is a crossroad. It generally has 4 directions of possible travel.,Agree,I explained what an intersection entails,Agree,I explained what constitues an intersection,nothing,,
26,Yes,"This is a crossroad because two roads intersect with each other, they cross and then move on into different directions.",No,"this is not a crossroad because while there are two roads close to each other, they did not cross paths and thus do not count. The paths must physically intersect or join together in opposing directions.",Yes,This is a crossroads because two roads go through each other and then go on to go in different directions.,Yes,There is a crossroads in this picture because multiple roads go in opposite directions crossing each other. This time you can't see the roads themselves but the signs are enough to go off of. The signs pointing in different directions indicate that those are roads,Yes,"This is a crossroad because there are many street signs and because there are two roads going in opposite directions that cross pathways, that diverge into different directions.",Strongly Agree,I covered every possible angle I could here. there is nothing i left out,Strongly Agree,i think i drilled the concept enough for it to get it,I can't think of anything I missed although I'm sure there are some minor details,,
27,Yes,"There is a stop sign, the lines in the street to show where the pedestrians will cross at to get to the other side.",No,This is an elevated train track. Not any area for people to walk on or cross at. It is just a picture of a train going on the tracks.,Yes,It is a street intersection that has 4 corners and stop signs. These are things you find in a crossroad. The sidewalks too for people to walk on and cross over to.,No,This is a picture of a street sign and an apartment building in the backround. It is possible that it was taken in a crossroad but it is just a street sign on a corner where two streets meet.,Yes,This is a crossroad because it is an intersection. You can see the lines for people to cross at.,Strongly Agree,I gave good examples of what to look for and what defines a crossroad.,Strongly Agree,My examples were good and detailed. The computer should know what to look for in the image.,"Nothing,i feel like my examples were pretty good.",,
28,Yes,There are two roads connecting in a perpendicular fashion. A crossroad is when two roads intersect. A cross road also has a stop sign at the intersecting spot.,Yes,In the distance of the picture two railroads cross each other at about a 90 degree angle and continue on.,Yes,There are two intersecting roads in this picture. A stop sign is at the intersection. It is clearly seen that there is two roads crossing each other.,Yes,The sign post has two streets. The two one-way signs determine that the roads cross at a 90 degree angle.,Yes,There are 3 sets of lights. The red lights indicate that traffic should stop from one of the roads. The green signs say that there are two roads. They cross at a 90 degree angle.,Agree,I think I was able to provide enough of an explanation to determine whether similar images are also crossroads.,Neutral,It is difficult to tell whether a computer would be able to use my information to determine the concept of crossroads in any picture. I am not confident that I explained well enough.,A crossroads is always two or more roads that intersect.,,
29,Yes,One street crosses another street and there is a stop sign for traffic not to enter the street because cars could be driving in a different direction.,No,There is not a street that crosses over another street and these are trains and not cars.,Yes,One street crosses over another street and there is a stop sign to stop traffic from entering the street when cars are moving in another direction.,Yes,There is a street sign with the names of different streets which indicate that the sign is on the corner of two different streets.,Yes,One street crosses over another street and there is a traffic light to stop cars from entering into the cross section when cars are traveling in another direction.,Agree,I taught some of the attributes necessary to indicate a crossroad.,Agree,It will know to look for these attributes in the images in the future to indicate a crossroad.,Nothing I can think of.,,
30,Yes,"There is a street that goes left to right, and a street that goes into the picture, behind the stop sign. A street sign facing a different way than the street also implies that there is a crossroad.",No,"The rails do not cross, but rather meets and merges, or one runs above one another. It's not crossing because there are only 3 way directions where the rails are going, rather than 4.",Yes,"There is a street going bottom left to top right of the picture, and another street that goes from bottom right to top left. There is four curved corners of the sidewalk in the picture, which implies a crossroad.",Yes,The street signs imply that there are two streets crossing under it. The signs are facing different ways. The lights in the yellow boxes for the pedestrians are facing different directions too.,Yes,"There are street signs that are facing different directions, which imply a crossroad. The street lights and signals are facing different directions too.",Agree,"If there are street signs or lights in the picture, I think the computer can tell if there is a crossroad. I'm not sure how well a computer can tell which directions the streets are going without signs.",Agree,"As long as it can differentiate streets from other background images, I think it can tell if there are different directions of the streets in the picture. I think it can tell street signs and the way it's facing too.","If the road is crowded with cars or people, I'm not sure if it can tell that it is a road.",,
31,Yes,"I believe this is a crossroad because there is a stop sight which tells cars to stop and check both left and right directions to see if traffic is coming. Just light a stop light, a stop sign indicates that there is traffic going across the path of the oncoming traffic. I can also see a road laying perpendicular to the direction the camera is facing.",No,"While there is more than one path here, neither of them intersect each other. The run alongside one another so, by definition, they are not a crossroad. To be a crossroad they would have to cross one another.",Yes,"There are two roads which cross one another, so it is a crossroad. By definition, the two roads intersect one another. You can also tell by the stop sign which indicates that one roads traffic needs to stop to make sure that crossing traffic doesn't crash into it. The stop sign tells each side to wait and take turns going while one side waits.",No,"There are no roads at all within view of the photo. While there are road signs that indicate there may be a crossroad, we can't see it in the photo. In order to say for certain that there is a crossroad, one would have to see that there were roads and that they intersected each other. The sings don't mean for sure that there is a crossroad because sometimes street signs just mark a part of the landscape that isn't really a road.",Yes,"I can tell that there is a crossroad here because there are two roads that intersect each other. I can see that there are two roads making an a cross shape if looked at from above. Even though it's dark, I looked at the street lights which tell me that there is one road with a green light crossing another with a red light.",Agree,I defined what a crossroad is. In each picture I tried to repeat the definition and illustrate why the parts of the photo fit that definition. In the photos without crossroads I explained why they weren't there.,Agree,I think future images can be compared to the definition and to the clues I gave.,I think that's pretty much it. Maybe another way to define the crossroad would be also to say that there have to be two roads which are not perpendicular in addition to crossing each other at some point.,,
32,Yes,Two streets are intersecting and cross paths. A stop sign is present to help with the flow of traffic.,No,The railways do not contradict each other and the flow of traffic is not in conflict of each other.,Yes,There are two streets that intersect that run into each other. A stop sign is needed to direct the flow of traffic.,Yes,There is a street sign that states there are two roads that are intersecting and that cross paths here.,Yes,There are two streets that intersect. A stop light is needed to control traffic. There are also street signs pointed in opposite directions.,Agree,I said that the roads have too intersect and traffic needs to be controlled.,Agree,I said that the roads have too intersect and traffic needs to be controlled.,none,,
33,Yes,"there is a cross walk and even though you can't really see the full intersection, you know it is there.",No,this is a railway system.,Yes,shows an intersection and streets crossing. There are stop signs so cars know to stop and pedestrians can cross easily,Unsure,the picture is showing the signs for the crossroad but you can not exactly see the roads you will cross.,Yes,you see the intersection and parts you can see the crosswalk.,Agree,"i mentioned what to look for, signs, intersections, crosswalks.",Neutral,i taught what to look for in a crosswalk but perhaps it needs more information.,"maybe showing it more images, for example you can have a cross walk in the middle of a single road and that is not the same as crossroads. So i can see a computer getting confused",,
34,Yes,The photo shows a road that crosses another road. The paths of travel are in different directions.,No,This image is not showing a crossroad. I does not show two roads crossing each other.,Yes,There are two roads that cross each other. The roads travel in different directions.,Yes,There are street signs perpendicular to each other and this indicates a place at which two streets cross each other.,Yes,There are two streets that cross each other. It is hard to see the road because of the lighting but the street signs confirm that there are two streets crossing each other.,Neutral,I am hesitant to imagine five examples are enough to teach a computer the nuances of noticing crossroads.,Neutral,Crossroads can be hard to identify and any future image is a lot to imagine it is capable of.,"A crossroad can be a road that joins two other main roads. A crossroads can be an intersection of more than two roads. 
 A crossroad can also be a point of important decision which would be harder to see in photos.",,
35,Yes,"The stop signs on either side of the street are a indication that the intersection is a crossroads you can after a stop choose to go straight, right or left depending on your destination.",Yes,This is a train crossroads and you can tell by the x crossroad towards the back of the picture it allows trains to change their direction and go on a different set of tracks than they originally started off with.,Yes,The stop signs once again signify a crossroads where you have multiple directions that you can head after making the stop at the sign. While there are no street signs a stop sign is a good indicator of a crossroads.,Yes,The two street signs show to different streets which lets you know that this is a crossing or a crossroads.,Yes,The traffic signals and the green street signs above them is another indicator of a crossroads the traffic signals direct the flow of traffic so that you can decide safely in busier intersections what direction you need to head in.,Strongly Agree,I thoughly described what made the different pictures indicators of a crossroad.,Strongly Agree,I gave the computer enough clues of what to look for depending on the method of travel.,n/a,,
36,Yes,There are four entryways that intersect in one area.,No,These are train tracks. Crossroads have to be on the street. There has to be 4 entryways or paths where they all intersect.,Yes,"There are 4 entryways for vehicles. It covers every way you can go or come from. The crossroad is the intersection between all four paths, where all the roads cross each other.",Unsure,It looks like more than 2 paths or streets are intersecting at one point.,Yes,This has four entryways for vehicles. The intersect at one point and all 4 roads connect here.,Agree,I gave definitive requirements of a crossroad,Agree,My requirements allow the computer to easily identify a crossroad.,None,,
37,Yes,one road that crosses another as in an intersection were 2 roads come together at one point.,No,"there are no intersecting roads here, no 2 roads coming together shown.",Yes,"there are 2 roads that come to an intersection, where both roads meet, they cross each other.",No,"there are no roads shown here so there are no roads intersection...however there are signs that signify that there are crossroads, but the roads are not shown",Yes,an intersection of 2 roads that cross each other.,Agree,i explained specifically what the aspects of crossroads are and look like,Agree,i explained specifically what the aspects of crossroads are and look like,none,,
38,Yes,There are two roads that cross each other in the middle. There are stop signs in the photo. The stop signs are opposite one another. There is a road that crosses between the two stop signs.,No,This photo is of train tracks. Trains are not considered to travel on crossroads. There are no streets in the photo. There is no streets crossing one another. There are no traffic lights in the photo.,Yes,There are roads in the photo. The are two streets that cross each other. There are stop signs in the photo. Each stop sign is facing opposite of one another. There is a road that crosses between the opposite facing stop signs.,Yes,There are signs in the photo. Each sign on the post in the photo are facing a different direction. There are signs that say one way. The one way signs are pointing in different directions.,Yes,There are roads in the photo. The roads make a cross in the middle. There are traffic lights in the photo. The traffic lights are on all four sides of the road.,Strongly Agree,I feel that I have given the computer enough information to distinguish between whether a photo contains a crossword or not based upon streets being in the photo and whether those streets cross one another or not.,Strongly Agree,"Every image that has crossroads contains a road. If there are traffic lights opposite one another or stop signs opposite one another, and a road crosses between them, then the computer should automatically know that it is a crossroad.",I don't believe anything additional can be taught to the computer. The computer should be able to distinguish between crossroads.,,
39,Yes,"This image shows two different streets. they are crossing over one another,in an intersections, so there is a crossroads here. Actually, there are several,because there are several different ways use can go. However, this is still a crossroads.",Yes,"A crossroad is two intersecting paths. It can also be metaphorical-when a person comes to two paths and must choose. This picture shows a train coming across two different tracks,and it must choose which one.",Yes,"This is a crossroads. There are two different streets clearly intersecting one another. You can go any of the ways,or cross over to another street.",Yes,"This shows two streets intersecting-Broadway and Spring St. These two roads cross over one another, as shown by the sign stating that there is a corner where they cross there. So they are a crossroads. Generally, if there are two street signs in a cross, you can tell the two streets cross.",Yes,"Although you can't tell what the signs say, it is obvious that there are several streets intersecting. You can further tell this by the direction of the cars-they are coming one way, but in the distance,they are going another. Because there are mutliple options and multiple roads, this is indeed a crossroads.",Strongly Agree,"Every image showed a crossroad. Also, the concept was easier than I realized, since it is just two streets crossing one another.",Strongly Agree,"If the only rule is two streets crossing, then I think the computer can easily learn that.","Honestly, railroad tracks might still be hard. And metaphorical crossroads might also be strange to it.",,
40,Yes,"yes, one street is intersecting the other on the same level. this is a good example of a cross road. other vehicles, cars, or pedestrians could cross or impede your path as you travel down the street.",No,"there is no crossroad pictured here at all. the predominant feature are the rails. they might cross a road, but it wouldn't be a cross road because they aren't on the same level as the streets. for it to be considered a cross road, the intersection must happen at the same horizontal level.",Yes,there is an intersection point where one road crosses another. there is a road that runs through/across another road. cars people or other vehicles can go across your path as you travel down the road you are on.,No,"technically no. there is no crossroad pictured. the street signs are pictured. you might be at crossroad, but none is specifically visible from this perspective.",Yes,"its not a well lit example, but it fits the description. there is a point where two roads intersect on the same level, cars vehicles are people could cross the path of travellers down either of the roads.",Agree,I think there was enough examples and explanations to adequately describe a crossroad. Maybe a few more examples of what isn't a crossroad would help,Agree,"through the explanations, yes. I think it is relatively clear, however I don think a few more examples of what isn't a cross road would help contrast.","not sure. perhaps situations that only involve pedestrian paths, and not just roads for cars.",,
41,Yes,Two roads coming and going in different directions converge together. The roads lead away and toward each other. The roads are flat.,No,These are train tracks and not roads. They are above the surrounding ground unlike roads. They carry trains and not cars or other types of traffic.,Yes,These roads converge after coming and going in different directions. They cross one another and lead in different directions. They are on the ground and convey traffic in different directions. They are long and narrow.,Unsure,"The signs indicate a crossroad but the roads themselves are not shown, which would make it more difficult to explain. The signs could create confusion in identifying crossroads.",Yes,Two roads coming and going in different directions are visible. They are flat and carry traffic/cars. They are designed to move traffic on the ground.,Disagree,"It was difficult describing a road other than flat and conveying traffic, a description a computer could likely not understand.",Disagree,The descriptions were not thorough enough to identify what a crossroad looks like.,I could have mentioned angles on the road as being perpendicular to one another.,,
42,Yes,This could be considered a crossroad because the two roads intersect each other.,No,"A crossroad means that two images have to cross each other. Like a t or a + they have to intersect. These roads just split, they do not cross.",Yes,This is clearly a crossroad because you can see that it looks like a plus symbol +. Not all crossroads look like a plus but this one does and the roads intersect with each other.,No,I see now crossroad. Something can intersect but it has to be a road. You can imagine that there is a road that intersects but we don't know for sure.,Yes,It is dark but if you loo carefully you can see that the roads intersect each other and look like a plus sign.,Agree,I think that if they know it needs to intersect then they will get it.,Neutral,It was a hard one. I can't be sure that they can get this anytime.,People can also say crossroads in a metaphorical term and there is no road. Only one in their head.,,
