Subject #,Photo 1 - Label ,Photo 1 - Explanation ,Photo 2 - Label,Photo 2 - Explanation ,Photo 3 - Label,Photo 3 - Explanation ,Photo 4 - Label,Photo 4 - Explanation ,Photo 5 - Label,Photo 5 - Explanation ,Similar ,Similar why ,Any ,Any Why ,Additional info ,,
11,Yes,they are near an bed. and have lights on them,Yes,"yes, there is a bedstand in between two beds",Yes,there is night stand near the bed and the window,No,"this is a restaurant, not a bed",No,this isn't even a bed. just a tv and shows,Agree,near the bed,Agree,this is a good sign of a bedstand even in future pictures,the idea of a stand.,,
12,Yes,Both of the small tables on either side of the bed are nightstands.,Yes,The small table placed between the two beds is a nightstand.,Yes,"A nightstand is a small table placed beside a bed for people to place items on.So, the small table in the corner is a nightstand",No,"A nightstand is a small table placed beside a bed. There are no beds in this image, so the tables are not nightstands.",No,"The table is long and not next to a bed, so it is not a nightstand.",Agree,The computer should be able to distinguish if a small table is next to a bed.,Agree,All nightstands are small tables positioned beside a bed. The computer can identify this relationship.,Most nightstands have a light and a clock on them. Some also have a telephone.,,
13,Yes,"The table next to the bed is called a nightstand. It is always placed next to the bed for a lamp or alarm clock to set on. It can also contain books, reading glasses, a drink.",Yes,The table in between the beds is a nightstand. It is next to two beds and has a lamp on it. It also contains a phone and clock.,Yes,There is a stand right next to the bed that hold a lamp and some book. This is a nightstand because it is right next to a bed.,No,This is a restaurant with dining tables. These table are for food. People sit at them to eat. Night stands are for bedtime.,No,"These table are part of an entertainment center, not a night stand. Night stands are next to beds. This has no beds in the picture. These table contain items to entertain people, like a tv, speakers, and gaming consoles.",Strongly Agree,A night stand was simple to define. I feel my explanations were very clear.,Strongly Agree,I think the computer will be able to tell because I gave good explanations of what a nightstand would look like.,Nightstands are usually small. Not big like dinner tables.,,
14,Yes,"On one side of the bed there is a small bookcase, on the other side is a small table. Both count as nightstands because they both have surfaces to put objects on and are both next to a bed. They also both have lamps on them, which is a very strong clue.",Yes,"The small table between the two beds is clearly a nightstand. For starters, it's next to the beds. Second, it has a lamp and clock on it, which are both common objects for a nightstand to have.",Yes,"There is a small dark table next to the bed with a lamp and two books on it. The definition of a nightstand is a small table or surface next to a bed to put objects on, such as a lamp. Therefore, this picture has a nightstand in it.",No,"This photo of a restaurant has tables in it, but no beds. A nightstand is a small table or surface next to a bed; therefore there are no nightstands in this picture.",No,"This is a picture of an entertainment center. There is no bed in the picture and no small table next to it. In addition, neither set of shelves is short enough to be used as a nightstand. Therefore there are no nightstands in the picture.",Strongly Agree,"I clearly defined ""nightstand"" as a small table or other surface close to a bed, and gave other context clues such as the presence of lamps and clocks on said surface.",Strongly Agree,"I feel I did a satisfactory job of defining ""nightstand"" and giving other context clues.","I am unsure about the flexibility of the term ""nightstand,"" such that a short bookshelf may very well be a nightstand, but a taller one may not, even if it, too, has a clock and lamp on it.",,
15,Yes,The small stand is next to a bed,Yes,there are beds next to the stand,Yes,there is a bed next to the stand,No,a night stand is a stand next to a bed. there is no bed in this picture,No,A night stand is a stand next to a bed. There is no bed in this picture.,Neutral,I don't believe computers can learn visual concepts,Neutral,I don't believe computers can learn visual concepts,I don't believe computers can learn visual concepts,,
16,Yes,There are two nightstands in this picture. The are on the sides of the beds and have lamps on them.,Yes,This is a hotel room. the nightstand is the table between the beds with the lamp and the phone on it.,Yes,The nightstand is the table with the lamp on it next to the bed. It is to the left of the bed in this photo.,No,There is no nightstand in this photo because there is no bed in this picture. this is a picture of a restaurant.,No,This is an entertainment center and there also is no bed in the photo.,Agree,I think I set up that there needs to be a bed in the picture and there needs to be a table next to the bed.,Neutral,I think that it needs to be able to tag where a nightstand might be.,I would like to have the computer learn by more than just words.,,
17,Yes,There are two nightstands in this picture. They are small tables close to the head of the bed on each side. Each nightstand has a lamp on it. The nightstands are a similar height as the bed.,Yes,"The picture is of a typical hotel room. There is a nightstand between the beds with a double lamp, clock and phone on it. It is a similar height as the beds. It is a small rectangular table right next to the beds.",Yes,There is a nightstand to the left of the bed near the headboard with a lamp and a few books on it. A night stand is usually a small square table right next to the bed that is a similar height to the bed and has a lamp or books on it.,No,This picture is not of a bedroom as there is no bed visible in it. There are many tables with tablecloths and glasses on them as well as many black chairs around the tables. This is a restaurant. Restaurants do not have nightstands. They are specific to bedrooms.,No,"A nightstand is next to a bed. In this picture, there is a TV but no bed. There shelves on either side of the TV. The one on the left has DVDs on it. The one on the right is a lamp and a shelf. Neither one of these qualify as a night stand. They are not right next to a bed.",Strongly Agree,I feel that I did a good job on each picture of describing what a nightstand is by where it is located and what it looks like as well as what types of items are on it.,Strongly Agree,I gave many details and feel that the computer would easily be able to find a nightstand with the descriptions that I gave.,I cannot think of anything else that I could have told the computer to understand the concept of nightstand.,,
18,Yes,"A nightstand is a type of table, but it is a small table usually used only to keep a lamp and some small items close to the bed.",Yes,A nightstand is a piece of furniture place by the head of a bed.,Yes,"There is a small table in the corner. It has a reading lamp on it, which is very typical of a nightstand. The books on the table for reading in bed are also very typical items to find on a nightstand.",No,"There is no bed in the picture. These are dining tables, which are large enough to sit at. Nightstands are usually much smaller than dining tables.",No,The absence of a bed is the main thing that tells one these pieces of furniture are not nightstands.,Neutral,I'm not sure how good the computer will be at identifying relevant similarities and differences.,Strongly Disagree,I feel there must be so many variations possible that that can't be the case.,"The top of the nightstand is usually at the height of the mattress.
 Nightstands usually won't have chairs pulled up to them.
 Alarm clocks are a big tip-off for nightstands.",,
19,Yes,"Is in bedroom and on side of bed, has books and lamps on it.",Yes,Is in between beds which is also possible.Clock and phone on there which is acceptable.,Yes,nightstand by bed has a lamp and books on it.,No,"Not by a bed, not small drawer.",No,"this is a tv stand, night stands are by beds and in bedrooms usually.",Agree,Told the traits of a nightstand and room usually found in.,Agree,"Got it right in the end, told what not to look for.",none,,
20,Yes,There are two nightstands in this picture. Both nightstands are on either side of the bed. There are lamps to help identify the nightstands. Being by the head of the bed is a good indicator of a nightstand.,Yes,There is a lamp above the nightstand. This nightstand is at the head of the beds. Nightstands are usually in between beds like this in hotel rooms. There are bedside items on this nightstand.,Yes,The nightstand is beside the bed. This is usually the case for nightstands. The usually sit against the wall like this also. There is a lamp on the nightstand. That is usually the case for nightstands. There is also a book on the nightstand.,No,This is not a bedroom. A nightstand usually sits by a bed. There are a lot of tables with chairs in this room. This would not be the case for a nightstand. There are a lot of tablecloths on the tables.,No,There is not bed. There is a shelf but it has multiple shelves on it with a lot of items. A nightstand would only have the one surface area on the top for items to be put on it. There are a lot of electronics around.,Agree,I named a lot of things that would allow it to identify nightstands in certain circumstances.,Disagree,There are many times that a nightstand might appear in different ways. Those few pictures didn't cover everything.,Nightstands are usually wood but not always.,,
21,Yes,The table that the lamp is on next to the bed is usually considered a nightstand I believe. I believe it is called a night stand because it is beside the bed in the room.,Yes,"The table between the two beds is a nightstand. You can place objects on it. It looks like a drawer, but I think a nightstand can also look like a table.",Yes,The nightstand is the drawer next to the bed with the lamp on it. It is a nightstand because it is next to the bed and you can place objects on it.,Unsure,"Well it depends what is considered a nightstand. There are chairs and tables, as it is a restaurant scene.",Unsure,Sometimes people call that table in front of the television a night stand as well. It really just depends on what you consider a nightstand to be.,Agree,"Nightstand is a pretty vague term, so I'm really not sure.",Neutral,"A nightstand can be considered anything you can out stuff on, so I am really not sure.",That a nightstand is what people perceive a nightstand to be if that makes sense,,
22,Yes,There are two nightstands here. The small tables beside the head of the bed with lamps on them are nightstands. In most cases you'll see a lamp on them. They are usually about the same height as the bed and may or may not have drawers or shelves.,Yes,In this picture we have a nightstand sitting between two beds. This is common in hotel rooms. Notice the lamp standing on it and the fact it's about the same height as the mattresses.,Yes,There is a small nightstand on the far side of the bed here. It has a lamp on it and a few books. Notice it's a similar height as the mattress.,No,"again a nightstand goes beside a bed. This picture has tables, if they were much much smaller and beside a bed they might come close to being a nightstand but not as they are here.",No,"A nightstand goes beside a bed, there is no bed in this image and not likely one where the camera is. Also there just nothing here that even comes close to resembling a night stand.",Agree,"because nightstands are very specific, a nightstand next to a couch is not a nightstand, it's an end table. So with the rules i had i think any image similar to those i saw would get flagged by robot.",Neutral,"There are always edge cases, and i can imagine seeing a nightstand by itself might confuse robot because it would be looking for a bed too.",That nightstands can be called different things depending on where they are in a house.,,
23,Yes,It is next to a bed. It has right angles. It usually has a lamp on top of it. It often is brown and made of wood.,Yes,There are beds here. There is a brown object between the beds. There is a lamp on top of the brown object. The brown object has right angles. There is a clock on top of the brown object. This appears to be a hotel room or a bedroom.,Yes,There is a bed. There is an object next to the bed. The object is sitting on top of a brown object. There is a lamp on top of the brown object. There is a book on top of the brown object.,No,There is no bed in the photo. There are several round tables covered with white tablecloths. There are several wine glasses on top of the tables. Each table has chairs around it. There is a brick wall. This looks like a restaurant.,No,There is no bed. There is an object with multiple shelves. There is a large screen tv on a wall. There are several electronic items under the tv. This looks like a living room.,Agree,I think I provided enough clues and statements for a computer to eliminate most things that are not a nightstand.,Neutral,I cannot know whether future images will have unexpected things in them that have features in common with a nightstand.,"I haven't taught it what the nightstand is made of or how to tell what it might be made of, other than having right angles and being brown.",,
24,Yes,Each piece of furniture beside the bed holding a lamp is a nightstand. It is near enough to the bed that a person doesn't have to get up to turn off the lamp.,Yes,The piece of furniture between the two beds with a lamp and telephone is a nightstand. Usually a clock or clock/radio are present also.,Yes,The small piece of furniture next to the bed holding a lamp is a nightstand.,No,There is no bed next to which a nightstand is placed.,No,There is no bed for a nightstand to be set next to. A nightstand is usually beside a bed within arm's reach.,Agree,"Because nightstands are pretty easy to locate, I think the computer could have learned from my descriptions.",Agree,I think the computer could identify a nightstand because of what I've described.,not sure,,
25,Yes,knowing what a nightstand is and using that knowledge plus examples of nightstands I have seen in the past.,Yes,knowing what a nightstand is and using that knowledge plus examples of nightstands I have seen in the past. Nightstands are also found beside beds which are in the photo.,Yes,knowing what a nightstand looks like and comparing ones I have personally seen to what is in the photo.,No,nightstands are commonly found next to beds which there are none of in the photo. Also the only thing in the photo are tables and chairs.,No,"first there is no bed in the picture. second nothing in the photo looks like a nightstand. There is a bookshelf, a multitier shelf with a light and an entertainment stand.",Strongly Agree,i explained what constitutes a night stand,Agree,i explained where nightstands are located,that a nightstand usually has a drawer,,
26,Yes,"there is a wooden table with multiple legs and objects sitting on it, next to a bed. this is a good example of a nightstand",Yes,a nightstand is a table with multiple legs that sits next to beds and has objects sitting on top of it.,Yes,there is a table next to the bed with multiple legs and objects sitting on it,No,there is no nightstand here because a nightstand must be beside a bed.,No,there is no bed in this picture. a nightstand must be sitting right beside a bed. otherwise it is not a nightstand.,Strongly Agree,i believe I have covered every aspect of what a nighstand is,Strongly Agree,I don't believe there are any angles that I have missed here. It should know what it needs to know,nothing that I can think of,,
27,Yes,There are two nightstands in this picture on both sides of the bed. They have the lamps on them which is a common trait.,Yes,In between the two beds there i a nightstand with a drawer and light on top of it.,Yes,The table next to the bed is the nightstand. It even has a light on it like how nightstands usually do.,No,"This is a picture of a restaurant or catering place. There are no nightstands in this picture, just tables and chairs to eat at.",No,"This is a television and entertainment center, not a nightstand. A nightstand is a smaller table usually with drawers.",Strongly Agree,I gave solid examples of what a nightstand typically is and described it well.,Strongly Agree,My descriptions make it easy to tell what a nightstand is.,No I mentioned everything needed for it to understand what a nightstand is.,,
28,Yes,There are 2 nightstands in this picture. A nightstand is a small table next to a bed which usually has a lamp and other small items. This photo includes two tables and two lamps.,Yes,A nightstand is a small table next to one or more beds.There is a nightstand between two beds. It has a lamp and other small items on it.,Yes,There is a nightstand in the picture. A nightstand usually is a small table next to a bed. It usually has a lamp and other small items on it which this image includes.,No,There is no bed in the picture. A nightstand is a table that is next to a bed. The tables in the pictures are part of a dining room.,No,There is no bed in the picture. A nightstand is next to a bed in a bedroom. The stands in the picture are part of an entertainment center.,Strongly Agree,A nightstand is easy to explain. It is an easy to spot item that has a specific location.,Strongly Agree,A nightstand is easy to explain. It has to be next to a bed and a bed is easy to discern.,None.,,
29,Yes,"Again, there is a piece of furniture that is next to a bed that holds necessary items that need a steady surface while lying in bed such as a lamp and books.",Yes,There is a piece of furniture next to a bed that holds necessary items such as a lamp that you will use while lying in bed.,Yes,There is a piece of furniture that is next to a bed that holds a lamp and necessary items that need a steady surface while lying in bed.,No,A nightstand is usually not present in a public space and it is usually a piece of furniture that is next to a bed.,No,The piece of furniture is not next to a bed and does not contain objects needed to be reached while in bed.,Strongly Agree,It has learned that a nightstand must be next to a bed.,Agree,It will look for objects such as a bed and a lamp to indicate it is a nightstand.,That a nightstand can be used elsewhere in the home and not necessarily next to a bed but it would be out of place.,,
30,Yes,"This is a bedroom, where you usually find nightstands. There is a nightstand, it has four legs, is short and has a lamp on it. It also has a small drawer.",Yes,"It's a bedroom where you usually find nightstands. There is a nightstand with a lamp on it. It has four legs, about the same height as the beds. It also has a drawer.",Yes,This is a bedroom. There is a small table next to the bed that is at the same height as the bed. It also has a lamp on it. So I can conclude that it's a nightstand.,No,"This is not a bedroom, where you usually see nightstands next to beds. There is nothing in the photo that looks like a nightstand. All you see on the floor are dining tables and chairs.",No,There is no bed in this picture. Anything that looks like a table is too high to be a nightstand (higher than a bed) and doesn't have a lamp on top.,Agree,"I think I gave a typical condition where you can find a nightstand, and what it needs to look like to be considered a nightstand.",Neutral,"If there was no reference material in the image, like a nightstand just by itself on a white backdrop, I don't know if the computer will recognize it.",It may not always have a lamp on it. Some nightstands don't have any drawer.,,
31,Yes,"I used the fact that I know a nightstand is a small table by a bed used to hold objects. Usually the table is pretty small compared to say, a dining table. Many times the nightstand is just made big enough to hold small items that one might use while getting ready to fall asleep such as books, a glass of water, a watch that's been taken off, tissues, or other smaller items. Many times a nightstand already has a light on it used to illuminate things until sleep. It's usually used while falling asleep instead of an overhead light because it's close and can be easily turned off from bed.",Yes,I know there is a nightstand in the photo because I see a small table that is about the height of both beds and right next to them. The table is serving the function of a nightstand in that it is a table withing arm's reach of the bed so that it can be accessed without getting out of bed. The nightstand also has a double lamp which is another clue that it's a nightstand because the light can be easily turned off when one is ready to sleep.,Yes,"There is a very small table about the same height of and next to a bed. This is pretty much the definition of a nightstand. Also, the table has a lamp on it, usually on nightstands. The table is also small, another feature of most nightstands. It seems to be being used as a surface for things used at night such as a book for reading and the lamp which can be easily reached because it is right next to the bed so it's not necessary to get up to turn it off.",No,"I know there is no nightstand because there is not bed in the photo. That's the biggest clue. Also, the tables that are present are much bigger, about 4 feet or so in diameter, rather than maybe a foot or so wide like most nightstands. In addition, there aren't any lamps on any of the tables. While nightstands don't always have lamps, they often do. These tables are for eating as demonstrated by the glassware, utensils and napkins on the surfaces.",No,"There is no bed in so that is the biggest clue that there is no nightstand. Normally a nightstand is used , like the name indicates, by a bed for use at night. Also, there are no small, bed height tables in view. In addition, the surfaces in view are all more shelves than tables. They aren't within arms reach of a bed which is the function of a nightstand.",Agree,"I think I was pretty detailed in my descriptions of what a nightstand is. I tried to be specific in my description of a nightstand's function and what physically consists of. Also, in the photos where there were no nightstands, I tried to tell the computer why the furniture pieces in it were not the same.",Agree,I defined the constraints of what a nightstand has to be. I also explained it's function so future items can hopefully be compared to these.,"Hmmm, I don't know if it needs anymore. Possibly I might have mentioned that nightstands are often wood and only about a foot or so in surface area. Also, usually nightstands have four long legs and are often, but not always, square or oval to fit next to a bed.",,
32,Yes,There is a stand next to a bed that holds a lamp. A stand or a small dresser next to a bed is considered a night stand.,Yes,There is a stand that is next to two beds that hold a phone and a clock. A stand next to a bed is always considered a night stand and only utilized during night time or a time in which you sleep.,Yes,There is a small stand to the left of the bed that holds a lamp and a couple books. A stand next to a bed is a night stand.,No,This is a dinning room and the tables are used for eating meals not for night time. A nightstand is usually next to a bed and used for such purposes.,No,There is no bed in the photo and these stands are not used in sleeping. These are regular entertainment stands and not nightstands.,Agree,I stated that a night stand needs to be next to a bed to be considered one.,Agree,I let the computer know that nightstands are only used when sleeping or around a bed.,none,,
33,Yes,"Next to a bed, has a lamp on them and one has books. Perfect example!",Yes,"Its next to a bed, has a clock, telephone and a lamp on it. perfect example of a night stand.",Yes,Hard to see but we keep lamps on nightstands and they are usually placed next to a bed.,No,This is a restaurant. there are no nightstands at restaurants,No,this is next to a tv and its holding dvds. thats more of an entertainment stand.,Agree,Night stands are pretty easy to describe.,Agree,i think they learned it is found in a bedroom and it is next to a bed and the things people keep on it.,I can see how it might be easy to confuse a nightstand and an endtable which was not explained in the process,,
34,Yes,There are actually two nightstands. They are beside the bed. They are small.,Yes,There is a small table and it is next to a bed.,Yes,There is a table that is next to a bed. It is a small table.,No,There is no nightstand as a nightstand is found near a bed.,No,There are no beds. There are no small tables.,Strongly Agree,The criteria is clear and simple to follow.,Agree,The criteria is pretty simple and nightstands should be easily identifiable.,none,,
35,Yes,The two tables are on either side of a bed and they have lamps on them probably for reading this is a perfect example of what a nightstand would be.,Yes,The table is in between beds which means it is a nightstand.,Yes,The lamp sitting on the table next to the bed would be considered a night stand.,No,There is no bed in the photo and a nightstand is a bedroom accessory so the above picture doesn't display that.,No,A nightstand is a table that reside next to or near a bed this shows a tv stand rack.,Agree,Let the computer know what kind of furniture you need to see to determine a nightstand.,Agree,I let the computer know what to look for.,n/a,,
36,Yes,"There are two nightstands in the picture, on both sides of the bed. They have lamps on top.",Yes,This is a bedroom and there is a nightstand in between the two beds. There is a lamp on top.,Yes,"There is a nightstand by the bed, and the lamp is on top of it. It is small and can't hold much.",No,A nightstand is bedroom furniture. A nightstand would not be in an eatery or restaurant. It is also something that is small and usually holds a lamp and a drawer or 2.,No,Nightstands are located in bedrooms. This is the living room and there is no nightstand in this room.,Agree,Yes. I made a huge distinction by saying a nightstand had to be located in a bedroom.,Agree,"I told of how sometimes there are drawers, it usually has a lamp on top and it's small.",None,,
37,Yes,"yes, there are 2 nightstands. one on each side of the bed with lamps on them..one has books in them..they are tables next to the bed, so they are nightstands.",Yes,"This is a bedroom with beds. There is a table next to the bed for things like clocks or lights, or telephones. the key is that it is a table sitting next to a bed.",Yes,this is a bedroom with a bed. next to the bed is a table with a lam on it as well as a book. a nightstand is a table that sits next to a bed which is the case for this picture.,No,"A nightstand is a table that sits beside the bed in a home. this is a restaurant with tables for eating. a nightstand is used for putting things on like a glass of water, or an alarm clock for use during the night or early morning.",No,"a nightstand is a table that is used to put things on such as a glass or a clock. A nightstand is a table that sits next to a bed in a bedroom. This picture is of a living room with a book case and a stand to put a t.v. on, there is not bed here so there is no table next to a bed here.",Agree,because it is an easy concept and I was specific when describing a nightstand.,Agree,because I was very specific,nothing,,
38,Yes,There is a bed in a room. The bed is in a bedroom. There is a table or tables beside the bed. The table or tables have a lamp or other objects on them.,Yes,There is a bed in the photo. The bed is in a bedroom. There is a table beside the bed. The table has a lamp or some other object on it.,Yes,There is a bed in the photo. The photo is of a bedroom. There is a lamp or other object on the table. The table is level with the bed or lower.,No,"There is no bed in the photo. This photo is not of a bedroom. There are tables in the photo, but they are not beside a bed. There are no lamps on the tables. There are objects on the table, but they are kitchen objects.",No,There is no bed in the photo. This photo is not of a bedroom. There is a television in the photo. Televisions are not placed on nightstands. There are no tables beside a bed.,Strongly Agree,I believe that the computer can identify similar images based on whether there is a bed or not in the photo. Then based on if the bed has a table beside it or not. The computer should then be able to decipher whether it is a nightstand or not.,Strongly Agree,The computer should be able to identify all nightstands from now on. This is based on a bed being in a bedroom with a table beside it that has a lamp or objects on it.,I believe the computer should be able to properly identify all nightstands now. There is nothing futher to teach the computer.,,
